Temp,Day,Weather
+14°,12 сент,Небольшой дождь
+18°,13 сент,Облачно с прояснениями
+20°,14 сент,Облачно с прояснениями
+20°,15 сент,Облачно с прояснениями
+20°,16 сент,Облачно с прояснениями
+20°,17 сент,Облачно с прояснениями
+20°,18 сент,Пасмурно
+17°,19 сент,Пасмурно
+15°,20 сент,Пасмурно
+13°,21 сент,Небольшой дождь
+14°,22 сент,Небольшой дождь
+13°,23 сент,Пасмурно
+16°,24 сент,Облачно с прояснениями
+12°,25 сент,Облачно с прояснениями
+11°,26 сент,Облачно с прояснениями
+8°,27 сент,Облачно с прояснениями
+11°,28 сент,Облачно с прояснениями
+15°,29 сент,Малооблачно
+11°,30 сент,Облачно с прояснениями
+4°,1 окт,Малооблачно
+6°,2 окт,Облачно с прояснениями
+8°,3 окт,Облачно с прояснениями
+6°,4 окт,Облачно с прояснениями
+7°,5 окт,Облачно с прояснениями
+4°,6 окт,Пасмурно
+4°,7 окт,Облачно с прояснениями
+1°,8 окт,Облачно с прояснениями
+1°,9 окт,Облачно с прояснениями
+3°,10 окт,Облачно с прояснениями
+6°,11 окт,Ясно
+6°,12 окт,Малооблачно
Average temp: 11.0°,Num of days: 31,Num of rain days: 3
